,batch_size,lr,epochs,activation_fn,optimizer,losses_arr,test_loss,test_accuracy,model,train_loss,valid_loss,valid_accuracy
0,256,0.004,20,GELU(approximate='none'),AdamW,"[(1.9639601178774242, 1.5746885284197933, 44.412607449856736), (1.476533501021371, 1.2992310775612919, 54.91881566380133), (1.249383501570677, 1.1137446634635086, 62.0821394460363), (1.109995544669085, 0.974856710206244, 66.72397325692455), (0.9674101096058282, 0.8673807751824999, 71.25119388729703), (0.8685816933643606, 0.8044125861629715, 73.14231136580706), (0.7475022559894546, 0.6985916617492778, 77.40210124164278), (0.6644814547835398, 0.6948628030852579, 77.21107927411653), (0.5966510389739137, 0.6191049327139868, 80.68767908309455), (0.5245617180338986, 0.5510135279913231, 83.07545367717287), (0.47675170358987007, 0.5538524315771651, 83.85864374403056), (0.40684690352188774, 0.5326840829712614, 84.43170964660936), (0.3782049658256208, 0.4994090778324415, 85.92168099331423), (0.34762268459487905, 0.474044492416646, 86.80038204393506), (0.31609841147841733, 0.4488088958641406, 87.87010506208213), (0.3101650619539362, 0.5242217785991024, 86.70487106017191), (0.2787871681261518, 0.47336289813206556, 88.00382043935052), (0.18647748998697913, 0.4351627015224956, 89.5702005730659), (0.13853345927323685, 0.4043055226320068, 90.00955109837632), (0.11186985443632079, 0.4484996824801936, 90.39159503342884)]",0.3471079945746338,91.9053073692249,model_7,0.11186985443632079,0.4484996824801936,90.39159503342884
1,128,0.0025,20,GELU(approximate='none'),AdamW,"[(1.7934252289437662, 1.4833902385423836, 48.02292263610315), (1.3580899666308706, 1.1552622314396652, 60.91690544412608), (1.173312424520516, 1.0837469459149307, 62.75071633237822), (1.0415144870616242, 0.9161582180285522, 68.67239732569246), (0.903484450479484, 0.7831681483568412, 73.73447946513849), (0.7914989895514869, 0.7229701753218285, 75.54918815663801), (0.6842933607133966, 0.6862547097939361, 77.95606494746896), (0.613410087038355, 0.6072738758586311, 80.82139446036294), (0.5311640301025581, 0.5659965737842899, 82.59789875835722), (0.46141105491175005, 0.515340153342104, 84.58452722063036), (0.42643960582933516, 0.5257990565773637, 84.3170964660936), (0.3829307701805604, 0.4785099337640669, 86.3992359121299), (0.3454089481980218, 0.5816382657377176, 83.80133715377268), (0.30873046945866917, 0.4593746349713636, 88.06112702960841), (0.2737073482627921, 0.47505912893481106, 88.13753581661891), (0.27060135488295456, 0.4673165269317008, 88.25214899713467), (0.16754922824333668, 0.392031726534296, 90.54441260744986), (0.12528576567464114, 0.40833619757846296, 90.88825214899714), (0.10916301082987415, 0.4177958716408002, 90.94555873925502), (0.0819109998841606, 0.3937169640089288, 91.40401146131805)]",0.36689723125164997,91.71439480717831,model_3,0.0819109998841606,0.3937169640089288,91.40401146131805
2,256,0.0025,20,GELU(approximate='none'),Adam,"[(1.9152224069402781, 1.6265795501392004, 43.801337153772685), (1.4991590781816844, 1.3143757486753271, 55.45367717287488), (1.2493449394114184, 1.1191403571605227, 61.566380133715384), (1.083270684901884, 0.9817015440666687, 66.64756446991404), (0.9539339240999208, 0.8822685561184669, 69.97134670487107), (0.8313483369952172, 0.7883917411737706, 72.9512893982808), (0.7187264492924834, 0.6989587628738928, 76.77172874880611), (0.6149266452028188, 0.5954347137166072, 80.55396370582616), (0.5308196411744309, 0.5790638372686326, 82.10124164278892), (0.45120231852199666, 0.5473825145815254, 83.20916905444126), (0.4031913560864707, 0.48291066862222914, 85.21489971346705), (0.3440319900151652, 0.4633050577005206, 86.70487106017191), (0.3065335185539186, 0.44121712696700294, 87.65998089780325), (0.2550910835490546, 0.45332033592058346, 87.65998089780325), (0.24934649520161045, 0.4191283868969113, 88.48137535816619), (0.20331005372503444, 0.44744623022753505, 89.22636103151862), (0.18287721234161564, 0.43239101910431726, 89.53199617956065), (0.13360950894968895, 0.3983291738183587, 91.04106972301814), (0.08711795821806256, 0.39638591995667366, 91.19388729703915), (0.07326391884973235, 0.4018742101012579, 91.09837631327603)]",0.43811795826675604,91.4471172203131,model_8,0.07326391884973235,0.4018742101012579,91.09837631327603
3,256,0.001,20,GELU(approximate='none'),AdamW,"[(1.9701944398684847, 1.6870790057332605, 41.10792741165234), (1.5810754894787422, 1.412213054313587, 51.7287488061127), (1.3705333469151475, 1.2724226719784304, 56.141356255969434), (1.2056406884108852, 1.1144947706002106, 61.96752626552053), (1.0988170010461327, 1.0284405896292488, 64.66093600764088), (0.990374709509242, 0.911643157248966, 69.01623686723973), (0.8850122013131073, 0.8179102160641434, 73.21872015281757), (0.7847410533242791, 0.732885147666749, 75.70200573065902), (0.6901314986549003, 0.6503986178177703, 79.10219675262655), (0.5985857094846676, 0.6182513932671679, 79.69436485195797), (0.5110861116867274, 0.5422554563883952, 83.47659980897804), (0.41948152240350495, 0.49990866807037687, 85.1766953199618), (0.35538367561233647, 0.4881996335648534, 86.20821394460363), (0.31333469899256916, 0.478451161483639, 86.49474689589303), (0.2621604544566728, 0.4501487904883843, 87.64087870105061), (0.21822038461534257, 0.4344745267029592, 89.11174785100286), (0.19227577994904121, 0.47355158442867973, 88.30945558739255), (0.1732421894263766, 0.4615484834286636, 89.01623686723973), (0.11486028406011782, 0.4320130375588407, 90.4297994269341), (0.08680485347730564, 0.42759635261159457, 90.62082139446036)]",0.4485202320389458,91.4471172203131,model_11,0.08680485347730564,0.42759635261159457,90.62082139446036
4,256,0.0025,20,LeakyReLU(negative_slope=0.01),Adam,"[(1.9579227424806331, 1.6360878131678818, 43.15186246418338), (1.496517175938553, 1.3689848635007682, 52.76026743075454), (1.2521702398284558, 1.096744616735289, 63.03724928366762), (1.0939851603306332, 0.9719068048448936, 66.60936007640879), (0.9939142395692178, 0.8926278727785564, 69.83763132760268), (0.8794976039245054, 0.8653178841701096, 70.98376313276027), (0.7910072711187365, 0.7491665585904089, 74.26934097421204), (0.6963871732057361, 0.6399429899232094, 79.08309455587393), (0.6133454430379777, 0.6150185684419976, 79.69436485195797), (0.5420415094604596, 0.559172561016101, 82.13944603629417), (0.48357057795192826, 0.4872159555796338, 84.14517669531996), (0.4170177132842648, 0.45799634468589606, 86.49474689589303), (0.36974736590014634, 0.45734409876061033, 86.36103151862464), (0.3064510223151554, 0.43326970264244447, 87.774594078319), (0.2877142797632074, 0.4396651774844103, 88.15663801337153), (0.25593321630769345, 0.40431978639353994, 88.99713467048711), (0.24091318210996027, 0.4554922420748553, 88.40496657115568), (0.2207260212932407, 0.41289438779511217, 89.5702005730659), (0.1348471272764232, 0.3919486980042007, 91.04106972301814), (0.1025689778396654, 0.3764065776906246, 91.88156638013372)]",0.45160053877509154,91.17983963344788,model_20,0.1025689778396654,0.3764065776906246,91.88156638013372
5,256,0.0025,20,GELU(approximate='none'),AdamW,"[(1.8758015180707466, 1.5884689081250312, 45.19579751671442), (1.4395148201561234, 1.2952120798706668, 55.6064947468959), (1.201897083356631, 1.076663599610898, 63.018147086915), (1.0785204876070946, 0.9664124443970528, 67.3352435530086), (0.9393987493690658, 0.838926277039955, 71.34670487106017), (0.8128608584501571, 0.7496051943176911, 75.45367717287488), (0.7183227871970298, 0.6471023940311348, 78.81566380133715), (0.6025153622165383, 0.608382641289956, 80.85959885386819), (0.5274977801278701, 0.5810045195969379, 81.96752626552053), (0.45992795719781643, 0.5066469582411485, 84.41260744985674), (0.38641562967801324, 0.47037457220875434, 86.20821394460363), (0.3392154746410141, 0.47784929674584864, 86.30372492836676), (0.28997668708980817, 0.46827186655178454, 86.59025787965616), (0.2793285174682065, 0.4659925405195814, 87.75549188156639), (0.22449901355971744, 0.44416980410942947, 88.51957975167144), (0.2132335179043987, 0.46279579148820843, 87.9083094555874), (0.20136450113167054, 0.4939422938463909, 88.21394460362941), (0.12461863718896413, 0.43434634088559043, 90.35339063992359), (0.09416980213146418, 0.4244659486108432, 90.48710601719198), (0.0789806225826763, 0.4357410012935613, 90.81184336198663)]",0.4266016739795753,91.17983963344788,model_9,0.0789806225826763,0.4357410012935613,90.81184336198663
6,256,0.004,20,GELU(approximate='none'),Adam,"[(2.0467352690312905, 1.7559277065390047, 37.669531996179565), (1.6123744489258667, 1.380347005958885, 51.423113658070676), (1.3320918865516111, 1.199391734770854, 59.19770773638968), (1.1574071873356506, 1.0151777314593253, 65.1766953199618), (1.0334230066646821, 0.9422198952553721, 67.31614135625597), (0.9306501793243387, 0.8599964006127009, 70.85004775549189), (0.8120979643420991, 0.773205333635026, 73.86819484240688), (0.7339668039670583, 0.6879628417940513, 77.80324737344795), (0.6616502281555863, 0.6194238006670131, 80.2101241642789), (0.5697061287624937, 0.5596243686981165, 82.04393505253104), (0.5020454967200837, 0.5500555700536216, 82.4450811843362), (0.45511724374141405, 0.49274734946353843, 84.94746895893027), (0.3974126468039795, 0.5197769708596989, 84.79465138490927), (0.38817497122987066, 0.42538641852316905, 86.9723018147087), (0.33762953283028907, 0.4582401950527854, 87.22063037249283), (0.30760636372911004, 0.4756140807182764, 87.10601719197709), (0.2029264551466191, 0.4048699071664637, 90.0668576886342), (0.15740129848253515, 0.3752368242943298, 90.56351480420248), (0.1380349817018229, 0.40457094636209373, 90.792741165234), (0.11127968324808274, 0.37527699612842474, 91.34670487106017)]",0.3572965324402948,91.10347460862924,model_6,0.11127968324808274,0.37527699612842474,91.34670487106017
7,128,0.0025,20,GELU(approximate='none'),Adam,"[(1.8159208363172628, 1.4382288682085054, 49.72301814708692), (1.3293054636601374, 1.202363542453835, 58.4909264565425), (1.1312374061256607, 1.0255965731547008, 64.79465138490926), (0.9955470755188072, 0.9110325531836567, 68.74880611270297), (0.8776101051476285, 0.8896511157353719, 70.39159503342884), (0.765167519132242, 0.7203942089959794, 76.3323782234957), (0.6709008626690666, 0.666568625428729, 78.7774594078319), (0.5763917461830467, 0.5887580089491669, 81.8720152817574), (0.5067174088483293, 0.5568552052735599, 82.97994269340975), (0.43837221206129, 0.536176964797172, 84.6800382043935), (0.39611862118865426, 0.519977136384678, 85.0429799426934), (0.35504055857495753, 0.48352696010922974, 87.22063037249283), (0.31211522506821854, 0.4618006590671958, 87.81279847182427), (0.291068991512914, 0.49236050948941834, 87.48806112702961), (0.2690146491480394, 0.47067091864068505, 88.08022922636103), (0.1725644384172083, 0.38871700781350377, 90.7163323782235), (0.12789732134358456, 0.41122525929266085, 90.86914995224451), (0.1031987743679368, 0.4101417714112581, 91.07927411652341), (0.07735548205358594, 0.4050789711411612, 91.34670487106017), (0.06392509743632269, 0.3979309271547833, 91.78605539637059)]",0.382835179442165,91.06529209621993,model_2,0.06392509743632269,0.3979309271547833,91.78605539637059
8,128,0.004,20,GELU(approximate='none'),AdamW,"[(1.9357123259014843, 1.6394826020074096, 43.11365807067813), (1.4813321742126757, 1.3514270054918305, 52.09169054441261), (1.2677071358302117, 1.0817506822496794, 62.78892072588348), (1.1205250321436384, 1.039124991604569, 64.5272206303725), (1.0063053701551679, 0.9482390945369898, 68.2712511938873), (0.9148702402394595, 0.843162789579335, 71.76695319961796), (0.8323511489221539, 0.7848968198101295, 74.00191021967527), (0.7591683268449478, 0.6662158007949676, 78.75835721107927), (0.7054844538284031, 0.6399803829511918, 78.91117478510029), (0.6525937051825114, 0.6438242218897472, 79.29321872015281), (0.5963479995434802, 0.5876061078413624, 81.33715377268386), (0.5793245212979726, 0.5696398671172068, 82.69340974212034), (0.552990146903029, 0.5447191963792416, 83.22827125119389), (0.4977301880038289, 0.47255268793165284, 85.44412607449857), (0.48558683864091295, 0.4980806294974534, 85.19579751671442), (0.4679637189744114, 0.5017826536323416, 85.11938872970391), (0.30679349713240933, 0.38537841132399914, 88.76790830945559), (0.22747247948449761, 0.40687645102184844, 89.4937917860554), (0.20445876123350606, 0.36052574084959604, 90.60171919770774), (0.18420424322802242, 0.38926757130604644, 90.5062082139446)]",0.36319502349480637,90.83619702176404,model_1,0.18420424322802242,0.38926757130604644,90.5062082139446
9,128,0.001,20,GELU(approximate='none'),Adam,"[(1.9272985113984404, 1.6219880747362445, 43.075453677172874), (1.521708195167219, 1.3476983943891845, 53.48615090735434), (1.3023255104290024, 1.1342159634447144, 61.661891117478504), (1.1378800476524384, 1.0364043557313702, 65.55873925501433), (1.0071602063094447, 0.9092739090764648, 69.68481375358166), (0.8752199656673864, 0.7814882513672939, 74.44126074498567), (0.7675227588325698, 0.6915448915764846, 77.15377268385865), (0.6584331824997437, 0.646393149265701, 78.72015281757402), (0.5625147411507766, 0.5709542233941662, 82.19675262655205), (0.45323283682741217, 0.5197816072698992, 84.01146131805157), (0.3741008925519243, 0.47780585711414514, 85.84527220630372), (0.34024511537642954, 0.44628396148667976, 87.06781279847182), (0.28282042198096585, 0.4169021938910571, 88.57688634192932), (0.23357236537569054, 0.41193554997444154, 89.14995224450813), (0.23231944456594866, 0.401180571357523, 89.054441260745), (0.18235414988672588, 0.3942047626264002, 89.53199617956065), (0.16185597161397766, 0.41944212246874796, 90.0668576886342), (0.1485791757975236, 0.4264718011775923, 89.5702005730659), (0.09863057379914501, 0.39336591241125163, 90.792741165234), (0.07684783279997427, 0.4025292803815352, 91.17478510028654)]",0.41821893088095696,90.7598319969454,model_4,0.07684783279997427,0.4025292803815352,91.17478510028654
